time,temperature_2m,relative_humidity_2m,surface_pressure,pressure_msl,dew_point_2m,precipitation,wind_speed_10m
2024-01-01T00:00,6.4,100,991.7,1018.7,6.4,0.0,3.8
2024-01-01T01:00,10.1,88,993.2,1019.8,8.2,0.0,4.0
2024-01-01T02:00,10.4,87,993.6,1020.2,8.4,0.0,4.0
2024-01-01T03:00,11.2,85,994.2,1020.8,8.7,0.0,5.8
2024-01-01T04:00,11.8,80,994.9,1021.4,8.5,0.0,5.8
2024-01-01T05:00,12.8,72,995.0,1021.4,7.9,0.0,4.7
2024-01-01T06:00,13.7,70,994.2,1020.5,8.2,0.0,3.3
2024-01-01T07:00,14.8,67,993.1,1019.3,8.6,0.0,3.4
2024-01-01T08:00,15.6,62,992.0,1018.1,8.5,0.0,4.8
2024-01-01T09:00,16.1,62,991.2,1017.2,8.7,0.0,6.4
2024-01-01T10:00,16.2,62,990.7,1016.7,8.9,0.0,7.7
2024-01-01T11:00,15.6,66,990.4,1016.5,9.3,0.0,8.2
2024-01-01T12:00,13.1,80,990.4,1016.7,9.7,0.0,5.6
2024-01-01T13:00,10.5,90,991.8,1018.4,9.0,0.0,6.1
2024-01-01T14:00,9.6,93,992.3,1019.0,8.4,0.0,5.9
2024-01-01T15:00,8.9,93,992.6,1019.3,7.9,0.0,6.0
2024-01-01T16:00,7.9,95,992.7,1019.5,7.2,0.0,5.7
2024-01-01T17:00,7.1,96,992.7,1019.6,6.5,0.0,6.5
2024-01-01T18:00,6.5,97,992.2,1019.2,6.1,0.0,7.0
2024-01-01T19:00,5.7,98,992.0,1019.0,5.4,0.0,8.2
2024-01-01T20:00,5.4,99,991.4,1018.4,5.2,0.0,7.9
2024-01-01T21:00,4.8,100,991.2,1018.3,4.7,0.0,7.7
2024-01-01T22:00,4.6,100,991.0,1018.1,4.6,0.0,6.4
2024-01-01T23:00,4.7,100,990.9,1018.0,4.7,0.0,4.9
2024-01-02T00:00,4.7,100,991.0,1018.1,4.7,0.0,4.3
2024-01-02T01:00,7.6,93,992.2,1019.1,6.5,0.0,6.1
2024-01-02T02:00,7.9,93,993.1,1020.0,6.8,0.0,5.3
2024-01-02T03:00,8.8,90,993.9,1020.7,7.2,0.0,5.5
2024-01-02T04:00,10.0,82,994.7,1021.4,7.1,0.0,4.0
2024-01-02T05:00,11.2,73,994.7,1021.3,6.5,0.0,1.1
2024-01-02T06:00,12.3,69,993.8,1020.2,6.8,0.0,1.1
2024-01-02T07:00,13.5,66,992.5,1018.8,7.2,0.0,2.2
2024-01-02T08:00,14.6,63,991.5,1017.7,7.7,0.0,3.3
2024-01-02T09:00,15.2,63,990.6,1016.7,8.2,0.0,4.0
2024-01-02T10:00,15.3,64,990.1,1016.2,8.5,0.0,5.6
2024-01-02T11:00,14.7,66,990.0,1016.1,8.4,0.0,6.8
2024-01-02T12:00,11.6,82,989.9,1016.3,8.6,0.0,7.9
2024-01-02T13:00,9.6,90,991.2,1017.8,8.0,0.0,6.4
2024-01-02T14:00,8.8,92,991.5,1018.2,7.6,0.0,6.9
2024-01-02T15:00,7.9,93,991.4,1018.2,6.9,0.0,6.6
2024-01-02T16:00,6.8,95,991.6,1018.5,6.0,0.0,8.2
2024-01-02T17:00,6.5,95,991.7,1018.6,5.8,0.0,7.2
2024-01-02T18:00,6.3,96,991.3,1018.3,5.6,0.0,6.5
2024-01-02T19:00,6.0,96,991.1,1018.1,5.5,0.0,6.1
2024-01-02T20:00,5.1,99,991.0,1018.1,4.9,0.0,6.9
2024-01-02T21:00,4.8,100,990.9,1018.0,4.7,0.0,7.8
2024-01-02T22:00,5.2,100,990.7,1017.7,5.2,0.0,6.8
2024-01-02T23:00,5.7,100,990.6,1017.6,5.7,0.0,5.4
2024-01-03T00:00,5.2,100,990.7,1017.7,5.1,0.0,2.6
2024-01-03T01:00,6.2,99,991.7,1018.7,6.1,0.0,4.2
